datetime;user;host;action;branch;result;detail
2026-06-14 15:58:05;Steph Hoel;HOEL;delete;feat/web-github-pages;dry-run;candidata (gone)
2026-06-14 15:58:05;Steph Hoel;HOEL;delete;fix/android-crash-document-title-baseurl;dry-run;candidata (gone)
2026-06-14 15:58:06;Steph Hoel;HOEL;delete;fix/new-version-finalization-adjustments;dry-run;candidata (gone)
2026-06-14 15:58:07;Steph Hoel;HOEL;summary;-;ok;deleted=0 skipped=7 failed=0 dry_run=1 include_merged=0 mode=safe default=main
2026-06-14 16:03:44;Steph Hoel;HOEL;delete;chore/docs-web-spec-sync;failed;gone via -d
2026-06-14 16:03:45;Steph Hoel;HOEL;delete;chore/new-version-2026-06-13;failed;gone via -d
2026-06-14 16:03:46;Steph Hoel;HOEL;delete;docs/change-gif;failed;gone via -d
2026-06-14 16:03:47;Steph Hoel;HOEL;delete;feat/06-uniao-itens-duplicados;failed;gone via -d
2026-06-14 16:03:48;Steph Hoel;HOEL;delete;feat/web-github-pages;failed;gone via -d
2026-06-14 16:03:48;Steph Hoel;HOEL;delete;fix/android-crash-document-title-baseurl;failed;gone via -d
2026-06-14 16:03:49;Steph Hoel;HOEL;delete;fix/new-version-finalization-adjustments;failed;gone via -d
2026-06-14 16:03:50;Steph Hoel;HOEL;summary;-;ok;deleted=0 skipped=0 failed=7 dry_run=0 include_merged=0 mode=safe default=main
2026-06-14 16:05:22;Steph Hoel;HOEL;delete;chore/docs-web-spec-sync;deleted;gone via -D
2026-06-14 16:05:23;Steph Hoel;HOEL;delete;chore/new-version-2026-06-13;deleted;gone via -D
2026-06-14 16:05:24;Steph Hoel;HOEL;delete;docs/change-gif;deleted;gone via -D
2026-06-14 16:05:25;Steph Hoel;HOEL;delete;feat/06-uniao-itens-duplicados;deleted;gone via -D
2026-06-14 16:05:25;Steph Hoel;HOEL;delete;feat/web-github-pages;deleted;gone via -D
2026-06-14 16:05:26;Steph Hoel;HOEL;delete;fix/android-crash-document-title-baseurl;deleted;gone via -D
2026-06-14 16:05:27;Steph Hoel;HOEL;delete;fix/new-version-finalization-adjustments;deleted;gone via -D
2026-06-14 16:05:28;Steph Hoel;HOEL;summary;-;ok;deleted=7 skipped=0 failed=0 dry_run=0 include_merged=0 mode=force default=main
2026-06-14 16:05:34;Steph Hoel;HOEL;scan;-;ok;nenhuma candidata (include_merged=0)
